Cstno,Age,Sex,Income,USE_Month,Credit_Limit,Total_Trans_Amt,Total_Trans_Ct
768805383,45,M,4~6천만원미만,39,12691000,1144000,42
818770008,49,F,2천만원미만,44,8256000,1291000,33
713982108,51,M,6~8천만원미만,36,3418000,1887000,20
769911858,40,F,2천만원미만,34,3313000,1171000,20
709106358,40,M,4~6천만원미만,21,4716000,816000,28
713061558,44,M,2~4천만원미만,36,4010000,1088000,24
810347208,51,M,8천만원이상,46,34516000,1330000,31
818906208,32,M,4~6천만원미만,27,29081000,1538000,36
710930508,37,M,4~6천만원미만,36,22352000,1350000,24
719661558,48,M,6~8천만원미만,36,11656000,1441000,32
708790833,42,M,8천만원이상,31,6748000,1201000,42
710821833,65,M,2~4천만원미만,54,9095000,1314000,26
710599683,56,M,6~8천만원미만,36,11751000,1539000,17
816082233,35,M,4~6천만원미만,30,8547000,1311000,33
712396908,57,F,2천만원미만,48,2436000,1570000,29
714885258,44,M,6~8천만원미만,37,4234000,1348000,27
709967358,48,M,6~8천만원미만,36,30367000,1671000,27
753327333,41,M,6~8천만원미만,34,13535000,1028000,21
806160108,61,M,2~4천만원미만,56,3193000,1336000,30
709327383,45,F,Unknown,37,14470000,1207000,21
806165208,47,M,4~6천만원미만,42,20979000,1178000,27
708508758,62,F,2천만원미만,49,1438300,692000,16
784725333,41,M,2~4천만원미만,33,4470000,931000,18
811604133,47,F,2천만원미만,36,2492000,1126000,23
789124683,54,M,6~8천만원미만,42,12217000,1110000,21
771071958,41,F,2천만원미만,28,7768000,1051000,22
720466383,59,M,2~4천만원미만,46,14784000,1197000,23
804424383,63,M,4~6천만원미만,56,10215000,1904000,40
718813833,44,F,Unknown,34,10100000,1052000,18
806624208,47,M,2~4천만원미만,42,4785000,1045000,38
778348233,53,M,6~8천만원미만,33,2753000,1038000,25
712991808,53,M,4~6천만원미만,48,2451000,1596000,26
709029408,41,M,4~6천만원미만,36,8923000,1589000,24
788658483,53,F,2천만원미만,38,2650000,1411000,28
787937058,58,M,6~8천만원미만,49,12555000,1291000,24
715318008,55,F,2천만원미만,36,3520000,1407000,43
713962233,55,F,2천만원미만,36,3035000,1877000,37
785432733,42,F,2천만원미만,36,15433000,966000,22
715190283,57,F,2~4천만원미만,49,3672000,1464000,28
708300483,66,F,Unknown,56,7882000,704000,16
827111283,45,M,6~8천만원미만,41,32426000,1109000,28
758551608,51,M,2~4천만원미만,44,6205000,1347000,28
773146383,50,F,2~4천만원미만,43,17304000,1756000,33
778493808,49,M,4~6천만원미만,37,3906000,1756000,32
720572508,38,F,Unknown,28,9830000,1042000,23
712661433,49,M,6~8천만원미만,30,34516000,1444000,28
789172683,56,M,4~6천만원미만,45,2283000,1741000,27
738406533,59,M,2~4천만원미만,52,2548000,1719000,27
799723908,46,M,6~8천만원미만,40,19458000,1217000,27
771490833,52,M,6~8천만원미만,40,4745000,1140000,40
720756708,52,F,2천만원미만,41,2622000,1878000,30
779471883,54,F,2천만원미만,40,1438300,705000,19
711525033,66,F,2천만원미만,54,3171000,1946000,38
712813458,49,M,8천만원이상,36,19763000,1414000,35
714374133,56,M,8천만원이상,36,15769000,602000,15
717891558,49,F,2천만원미만,36,3298000,1052000,32
716632758,49,F,2천만원미만,36,2802000,1295000,40
768563658,56,M,2~4천만원미만,50,4458000,1424000,29
711427458,44,F,Unknown,35,6273000,1359000,25
714091983,42,M,4~6천만원미만,34,3336000,1168000,27
787584108,55,M,6~8천만원미만,47,3436000,1097000,33
712030833,48,M,4~6천만원미만,35,34516000,691000,15
711481533,39,M,4~6천만원미만,33,5926000,1316000,28
710082708,44,M,8천만원이상,32,23957000,1276000,26
708155733,53,M,8천만원이상,44,14734000,1289000,23
788979258,51,M,6~8천만원미만,38,34516000,1293000,32
807986133,57,M,4~6천만원미만,52,6584000,1353000,35
788730933,44,F,2천만원미만,20,2084000,1132000,28
711314058,49,M,4~6천만원미만,32,1687000,1670000,17
717975333,50,M,6~8천만원미만,38,25300000,837000,15
715971108,51,M,8천만원이상,42,34516000,1550000,41
720096558,55,F,2천만원미만,42,2216000,1540000,36
719580033,54,M,4~6천만원미만,43,2910000,1256000,21
820582308,42,M,6~8천만원미만,37,22913000,1394000,35
789973308,44,M,4~6천만원미만,35,24312000,1341000,24
712876233,53,M,6~8천만원미만,36,5272000,1289000,33
804595158,44,F,2천만원미만,36,7000000,1112000,23
714826758,37,F,2천만원미만,29,7038000,2339000,57
779058108,49,M,4~6천만원미만,30,2536000,1468000,23
710790258,47,M,6~8천만원미만,38,28904000,1334000,35
715623483,47,M,4~6천만원미만,37,8567000,1457000,41
715156383,44,M,8천만원이상,36,34516000,1603000,29
711013983,55,F,2~4천만원미만,45,2158000,615000,12
755420433,59,F,Unknown,52,10133000,1068000,20
794543958,53,M,6~8천만원미만,35,34516000,1590000,27
716396358,52,M,4~6천만원미만,47,3085000,1531000,35
715398033,53,M,8천만원이상,35,19040000,1212000,31
711743883,43,F,2천만원미만,35,4026000,1237000,32
719720058,44,M,4~6천만원미만,31,12756000,1413000,14
778992108,57,M,8천만원이상,45,5266000,1516000,29
717539808,51,F,2천만원미만,36,9930000,1276000,21
714070758,49,M,6~8천만원미만,38,31302000,1564000,35
714107958,45,M,2~4천만원미만,36,6576000,1465000,34
789140283,53,M,6~8천만원미만,42,2664000,1286000,29
715550508,45,F,Unknown,28,2535000,1312000,20
719712633,64,M,2천만원미만,52,1709000,1673000,32
772629333,45,M,2~4천만원미만,35,3454000,1313000,30
720336708,53,M,2~4천만원미만,35,3789000,1609000,42
802013583,56,M,8천만원이상,50,9689000,1158000,19
711887583,47,M,6~8천만원미만,37,5449000,836000,18
714778833,49,F,Unknown,43,23032000,1289000,22
713843283,41,F,Unknown,34,34516000,1487000,26
779155158,53,M,8천만원이상,34,2940000,1259000,33
721091583,44,F,2천만원미만,32,3031000,1298000,15
713572683,44,M,4~6천만원미만,25,1862000,1226000,34
716657058,43,F,2천만원미만,33,8358000,1566000,37
779509983,53,M,8천만원이상,36,34516000,1022000,21
717929133,44,M,4~6천만원미만,36,14450000,1235000,30
808284783,62,F,2천만원미만,56,1438300,1951000,44
708476808,54,M,8천만원이상,36,33791000,1047000,31
